dispatching_base_number,date,active_vehicles,trips,year,month,weekday,trips_per_vehicle
B02598,2015-01-31,1027,11642,2015,1,Saturday,11.335929892891919
B02598,2015-02-01,961,9499,2015,2,Sunday,9.884495317377732
B02682,2015-02-01,1214,12436,2015,2,Sunday,10.243822075782537
B02512,2015-02-01,193,1377,2015,2,Sunday,7.134715025906735
B02765,2015-02-01,289,2672,2015,2,Sunday,9.245674740484429
B02617,2015-02-01,1355,13458,2015,2,Sunday,9.93210332103321
B02764,2015-02-01,3740,37468,2015,2,Sunday,10.018181818181818
B02617,2015-02-02,1217,12216,2015,2,Monday,10.037797863599014
B02682,2015-02-02,1152,11981,2015,2,Monday,10.40017361111111
B02765,2015-02-02,275,2607,2015,2,Monday,9.48
B02598,2015-02-02,939,9511,2015,2,Monday,10.128860489882854
B02764,2015-02-02,3270,30761,2015,2,Monday,9.40703363914373
B02512,2015-02-02,227,1904,2015,2,Monday,8.387665198237885
B02765,2015-02-03,299,2410,2015,2,Tuesday,8.060200668896321
B02598,2015-02-03,991,9602,2015,2,Tuesday,9.68920282542886
B02512,2015-02-03,257,1915,2015,2,Tuesday,7.45136186770428
B02764,2015-02-03,3674,31641,2015,2,Tuesday,8.61213935764834
B02617,2015-02-03,1350,12665,2015,2,Tuesday,9.381481481481481
B02682,2015-02-03,1269,11955,2015,2,Tuesday,9.42080378250591
B02764,2015-02-04,3856,29994,2015,2,Wednesday,7.778526970954357
B02765,2015-02-04,309,2334,2015,2,Wednesday,7.553398058252427
B02512,2015-02-04,244,1639,2015,2,Wednesday,6.717213114754099
B02682,2015-02-04,1311,11309,2015,2,Wednesday,8.626239511823035
B02617,2015-02-04,1393,11959,2015,2,Wednesday,8.585068198133525
B02598,2015-02-04,1072,9600,2015,2,Wednesday,8.955223880597014
B02617,2015-02-05,1524,14499,2015,2,Thursday,9.513779527559056
B02682,2015-02-05,1418,13782,2015,2,Thursday,9.719322990126939
B02598,2015-02-05,1179,11609,2015,2,Thursday,9.846480067854113
B02512,2015-02-05,264,2022,2015,2,Thursday,7.659090909090909
B02765,2015-02-05,355,3011,2015,2,Thursday,8.481690140845071
B02764,2015-02-05,4093,35990,2015,2,Thursday,8.793061324212069
B02617,2015-02-06,1526,15417,2015,2,Friday,10.102883355176933
B02765,2015-02-06,385,3569,2015,2,Friday,9.27012987012987
B02598,2015-02-06,1181,11897,2015,2,Friday,10.073666384419983
B02512,2015-02-06,261,1989,2015,2,Friday,7.620689655172414
B02764,2015-02-06,4170,38693,2015,2,Friday,9.278896882494005
B02682,2015-02-06,1414,14375,2015,2,Friday,10.166195190947667
B02598,2015-02-07,1031,10512,2015,2,Saturday,10.19592628516004
B02512,2015-02-07,211,1504,2015,2,Saturday,7.127962085308057
B02617,2015-02-07,1383,13688,2015,2,Saturday,9.897324656543745
B02682,2015-02-07,1300,13450,2015,2,Saturday,10.346153846153847
B02764,2015-02-07,3849,38530,2015,2,Saturday,10.010392309690829
B02765,2015-02-07,345,3473,2015,2,Saturday,10.066666666666666
B02764,2015-02-08,3422,29692,2015,2,Sunday,8.676797194623028
B02765,2015-02-08,313,2623,2015,2,Sunday,8.380191693290735
B02598,2015-02-08,923,8129,2015,2,Sunday,8.807150595882991
B02617,2015-02-08,1256,11004,2015,2,Sunday,8.761146496815286
B02682,2015-02-08,1136,10356,2015,2,Sunday,9.116197183098592
B02512,2015-02-08,176,1196,2015,2,Sunday,6.795454545454546
B02617,2015-02-09,1312,10887,2015,2,Monday,8.298018292682928
B02682,2015-02-09,1241,10209,2015,2,Monday,8.226430298146656
B02598,2015-02-09,976,8135,2015,2,Monday,8.335040983606557
B02764,2015-02-09,3543,28266,2015,2,Monday,7.977984758679086
B02512,2015-02-09,228,1565,2015,2,Monday,6.864035087719298
B02765,2015-02-09,388,2894,2015,2,Monday,7.458762886597938
B02764,2015-02-10,3700,29124,2015,2,Tuesday,7.871351351351351
B02512,2015-02-10,233,1555,2015,2,Tuesday,6.67381974248927
B02617,2015-02-10,1364,11401,2015,2,Tuesday,8.35850439882698
B02765,2015-02-10,422,3432,2015,2,Tuesday,8.132701421800947
B02682,2015-02-10,1281,10536,2015,2,Tuesday,8.224824355971897
B02598,2015-02-10,1029,8718,2015,2,Tuesday,8.472303206997085
B02617,2015-02-11,1450,12749,2015,2,Wednesday,8.792413793103448
B02764,2015-02-11,3849,31889,2015,2,Wednesday,8.285009093270979
B02512,2015-02-11,255,1831,2015,2,Wednesday,7.180392156862745
B02598,2015-02-11,1115,10034,2015,2,Wednesday,8.999103139013453
B02765,2015-02-11,450,3778,2015,2,Wednesday,8.395555555555555
B02682,2015-02-11,1396,12189,2015,2,Wednesday,8.73137535816619
B02617,2015-02-12,1532,14263,2015,2,Thursday,9.310052219321149
B02512,2015-02-12,269,2092,2015,2,Thursday,7.776951672862453
B02682,2015-02-12,1468,13786,2015,2,Thursday,9.39100817438692
B02765,2015-02-12,536,4609,2015,2,Thursday,8.598880597014926
B02598,2015-02-12,1181,11640,2015,2,Thursday,9.856054191363251
B02764,2015-02-12,4137,36844,2015,2,Thursday,8.905970510031423
B02617,2015-02-13,1590,16996,2015,2,Friday,10.68930817610063
B02682,2015-02-13,1523,16088,2015,2,Friday,10.563361785948786
B02764,2015-02-13,4395,43561,2015,2,Friday,9.911490329920364
B02765,2015-02-13,599,5909,2015,2,Friday,9.864774624373956
B02512,2015-02-13,281,2408,2015,2,Friday,8.569395017793594
